AI_model,Problems,passed,Total,Attempts,Correctnes,solution,LOC,Cyclomatic,Halstead,Maintainability,TimeComplexity,SpaceComplexity
ChatGpt,invalid_parentheses,129,129,1,1,TRUE,31,9,455.13,60.96,O(2^n * n), O(2^n)
ChatGpt,strong_password,54,54,1,1,TRUE,40,17,3649.84,61.68,O(n),O(k)
ChatGpt,trap_rainWater,324,324,1,1,TRUE,20,8,780.5,53.64,O(n),O(1)
ChatGpt,wildcard_matching,1811,1811,1,1,TRUE,14,11,1824.5,83.79, O(m * n), O(m * n)
Llama,CombinationSum2,176,176,1,1,TRUE,18,2,460.79,71.34, O(2^n), O(n)
Llama,frog_position,207,207,1,1,TRUE,28,17,1380.07,75.65,O(n),O(n)
Llama,invalid_parentheses,129,129,1,1,TRUE,21,8,413.85,79.54, O(n * 2^n), O(2^n)
Llama,strong_password,54,54,1,1,TRUE,31,16,6493.25,45.24,O(n),O(1)
Llama,trap_rainWater,324,324,1,1,TRUE,20,6,522.95,83.19,O(n),O(1)
Llama,wildcard_matching,1811,1811,1,1,TRUE,13,11,1625,83.71,O(m * n),O(m * n)
Github Copilot,CombinationSum2,176,176,1,1,TRUE,16,2,506.64,72.61,O(2^n),O(n)
Github Copilot,frog_position,207,207,1,1,TRUE,24,13,553.43,66.3,O(n),O(n)
Github Copilot,invalid_parentheses,129,129,1,1,TRUE,22,7,413.85,66.26,O(n * 2^n),O(2^n)
Github Copilot,strong_password,54,54,1,1,TRUE,43,17,5359.34,69.21,O(n) ,O(n) 
Github Copilot,trap_rainWater,324,324,1,1,TRUE,16,6,630,71.59,O(n) ,O(n) 
Github Copilot,wildcard_matching,1811,1811,1,1,TRUE,13,11,1824.5,82.75,O(m * n),O(m * n)
Deepseek,CombinationSum2,176,176,1,1,TRUE,16,2,389.72,58.53,O(n log n + 2^n) ,O(n + k)
Deepseek,frog_position,207,207,1,1,TRUE,31,15,1087.17,69.33,O(V + E),O(V + E)
Deepseek,invalid_parentheses,129,129,1,1,TRUE,33,9,455.13,60.13,O(n * 2^n) ,O(2^n)
Deepseek,strong_password,54,54,1,1,TRUE,41,17,8002.33,61.29,O(n),O(1)
Deepseek,trap_rainWater,324,324,1,1,TRUE,16,5,367.33,57.49,O(n),O(1)
Deepseek,wildcard_matching,1811,1811,1,1,TRUE,14,11,1824.5,55.54,O(m * n),O(m * n)

